Time [Seconds],Amplitude [V]
0.062,11.9968865191856
0.0621,11.9969289580809
0.0622,11.9969707656454
0.0623,11.9970119512709
0.0624,11.9970525242096
0.0625,11.9970924935758
0.0626,11.9971318683485
0.0627,11.997170657373
0.0628,11.997208869363
0.0629,11.9972465129026
0.063,11.9972835964482
0.0631,11.9973201283304
0.0632,11.9973561167558
0.0633,11.9973915698092
0.0634,11.9974264954547
0.0635,11.9974609015382
0.0636,11.9974947957889
0.0637,11.9975281858209
0.0638,11.9975610791351
0.0639,11.9975934831207
0.064,11.9976254050571
0.0641,11.9976568521155
0.0642,11.9976878313601
0.0643,11.9977183497503
0.0644,11.9977484141419
0.0645,11.9977780312886
0.0646,11.9978072078439
0.0647,11.9978359503619
0.0648,11.9978642652996
0.0649,11.9978921590178
0.065,11.9979196377825
0.0651,11.9979467077668
0.0652,11.9979733750518
0.0653,11.997999645628
0.0654,11.9980255253971
0.0655,11.9980510201728
0.0656,11.9980761356823
0.0657,11.9981008775676
0.0658,11.998125251387
0.0659,11.9981492626158
0.066,11.998172916648
0.0661,11.9981962187974
0.0662,11.9982191742985
0.0663,11.9982417883084
0.0664,11.998264065907
0.0665,11.9982860120989
0.0666,11.9983076318142
0.0667,11.9983289299096
0.0668,11.9983499111696
0.0669,11.9983705803075
0.067,11.9983909419666
0.0671,11.9984110007209
0.0672,11.9984307610766
0.0673,11.9984502274726
0.0674,11.998469404282
0.0675,11.9984882958128
0.0676,11.9985069063088
0.0677,11.9985252399508
0.0678,11.9985433008572
0.0679,11.9985610930855
0.068,11.9985786206324
0.0681,11.9985958874355
0.0682,11.9986128973737
0.0683,11.9986296542681
0.0684,11.998646161883
0.0685,11.9986624239269
0.0686,11.9986784440528
0.0687,11.9986942258596
0.0688,11.9987097728927
0.0689,11.9987250886444
0.069,11.9987401765555
0.0691,11.9987550400154
0.0692,11.998769682363
0.0693,11.9987841068876
0.0694,11.9987983168297
0.0695,11.9988123153814
0.0696,11.9988261056874
0.0697,11.9988396908456
0.0698,11.9988530739079
0.0699,11.9988662578806
0.07,11.9988792457256
0.0701,11.9988920403603
0.0702,11.9989046446591
0.0703,11.9989170614534
0.0704,11.9989292935327
0.0705,11.9989413436446
0.0706,11.9989532144964
0.0707,11.9989649087546
0.0708,11.9989764290463
0.0709,11.9989877779595
0.071,11.9989989580436
0.0711,11.9990099718103
